disease_name,primary_dosha,secondary_dosha,body_attributes_imbalance,tissues_affected,main_healing_herb,herb_preparation,herb_vehicle,herb_action,diet_to_favor,diet_to_avoid,lifestyle_modification,recommended_yoga_pose,recommended_breathing_exercise,meditation_focus
hormone disorder,Vata,Pitta,Rasa-Dhatu vikara,Artava/Shukravaha,Shatavari,Churna,Milk,Balya/Hormone-balancer,"Balanced, whole foods",Processed food,Regular routine,Baddha Konasana,Anulom Vilom,Endocrine balance
injury to the knee,Vata,None,Janu-abhighata,Snayu,Shallaki,Vati,Warm water,Sandhanaka,Protein rich,Twisting knee,RICE,Janu Shirasasana,Anulom Vilom,Knee repair
mittelschmerz,Vata,Pitta,Artava-shoola,Artavavaha Srotas,Ashoka,Kwatha,Water,Vedanasthapana,Warm fluids,Cold food,Warm compress,Balasana,Anulom Vilom,Ovulation comfort
chondromalacia of the patella,Vata,None,Janu-sandhi gata Vata,Asthi Dhatu,Guggulu,Vati,Warm water,Sandhanaka,Anti-inflammatory,High impact jumping,Knee strengthening,Janu Shirasasana,Anulom Vilom,Cartilage integrity
lung cancer,Sannipata,None,Phuphusa-arbudha,Pranavaha Srotas,Guduchi,Arishta,Water,Rasayana,"Antioxidant, nourishing",Smoking,Lung rehab,Matsyasana,Deep breathing,Pulmonary vitality
multiple myeloma,Sannipata,None,Asthi-arbudha,Asthi Dhatu,Kanchanar,Arishta,Water,Rasayana/Raktaprasadana,"Calcium, nourishing",Toxins,Oncology support,Shavasana,Anulom Vilom,Plasma-cell health
anemia due to chronic kidney disease,Pitta,Vata,Pandu-Vrikkaroga,Rakta Dhatu,Punarnava Mandura,Vati,Buttermilk,Raktavardhaka/Mutrala,"Iron-rich, balanced",Excess potassium,Erythropoietin support,Vrikshasana,Anulom Vilom,Hematopoiesis
idiopathic infrequent menstruation,Vata,Kapha,Artava-kshaya,Artava Dhatu,Kumari Asava,Arishta,Water,Artavapravartini,"Iron rich, warm",Cold food,Maintain weight,Baddha Konasana,Anulom Vilom,Regularity
liver cancer,Sannipata,None,Yakrit-arbudha,Yakrit (Liver),Bhunimba,Arishta,Water,Rasayana,"Bitter, light",Alcohol,Strict monitoring,Katichakrasana,Sheetali,Hepatic integrity
polycythemia vera,Pitta,Rakta,Rakta-vriddhi,Rakta Dhatu,Guduchi,Satva,Water,Raktaprasadana,"Cooling, light",Iron supplements,Hydration,Shavasana,Sheetali,Blood viscosity
endometrial hyperplasia,Kapha,Pitta,Artava-vriddhi,Artavavaha Srotas,Kanchanar Guggulu,Vati,Warm water,Lekhana,Low fat diet,Estrogenic foods,Exercise,Baddha Konasana,Kapalbhati,Uterine balance
intestinal cancer,Sannipata,None,Antra-arbudha,Annavaha Srotas,Bilva,Arishta,Water,Rasayana,"High fiber, nutritious",Red meat,Digestive care,Pavanamuktasana,Anulom Vilom,Intestinal health
premature ovarian failure,Vata,None,Artava-kshaya,Artava Dhatu,Shatavari,Ghrita,Milk,Rasayana,"Nourishing, oily",Stress,HRT (as needed),Baddha Konasana,Anulom Vilom,Ovarian support
pseudotumor cerebri,Kapha,Vata,Mastishka-shotha,Majja Dhatu,Punarnava,Kwatha,Water,Mutrala/Lekhana,Low salt diet,Fluid excess,Weight loss,Shavasana,Anulom Vilom,CSF pressure
amblyopia,Vata,None,Drishti-dosha,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Chakshushya,Eye-healthy food,Patching eyes (therapy),Eye exercises,Trataka,Anulom Vilom,Visual development
atrophy of the corpus cavernosum,Vata,None,Shukravaha-kshaya,Mamsa Dhatu,Ashwagandha,Leha,Milk,Balya,Nutritious diet,Tobacco,Pelvic exercises,Paschimottanasana,Anulom Vilom,Tissue vitality
scleritis,Pitta,Kapha,Netra-shotha,Netra (Eyes),Triphala,Grita,Water,Shothahara,Cooling food,Rubbing eye,Eye protection,Trataka,Sheetali,Scleral cooling
hypocalcemia,Vata,None,Asthi-kshaya,Asthi Dhatu,Laksha,Guggulu,Milk,Balya,"Calcium-rich (Milk, Seeds)",Soft drinks,Sunlight (Vitamin D),Trikonasana,Anulom Vilom,Calcium absorption
hepatic encephalopathy,Pitta,Vata,Yakrit-visha,Majja Dhatu,Katuki,Churna,Water,Vishagna/Pittasarak,"Liquid, low protein",High protein,Ammonia control,Shavasana,Sheetali,Detoxification
muscular dystrophy,Vata,None,Mamsa-kshaya,Mamsa Dhatu,Ashwagandha,Leha,Milk,Balya/Rasayana,Muscle nourishing,Sedentary life,Gentle physio,Tadasana,Anulom Vilom,Muscle support
dislocation of the wrist,Vata,None,Sandhi-muktata,Snayu,Shallaki,Vati,Warm water,Sandhanaka,Protein rich,Sudden fall,Splinting,Tadasana,Anulom Vilom,Wrist union
mumps,Kapha,Pitta,Karnamula-shotha,Rasa Dhatu,Haridra,Kwatha,Honey,Shothahara,Warm liquids,"Sour, spicy",Isolation,Simhasana,Ujjayi,Parotid health
folate deficiency,Vata,Pitta,Dhatukshaya,Rakta Dhatu,Amalaki,Churna,Water,Rasayana,Green leafy veg,Overcooking veg,Nutrient monitoring,Tadasana,Anulom Vilom,Blood vitality
whooping cough,Vata,Kapha,Kasa,Pranavaha Srotas,Kantakari,Avaleha,Honey,Kasahara,Warm fluids,Cold air,Steam inhalation,Dhanurasana,Kapalbhati,Airway relief
erythema multiforme,Pitta,Rakta,Visarpa,Rakta Dhatu,Sariva,Phant,Water,Raktaprasadana,Cooling food,Allergenic drugs,Moisturizing,Shavasana,Sheetali,Skin remission
cervical disorder,Vata,Pitta,Garbhashaya-mukharoga,Artavavaha Srotas,Lodhra,Kwatha,Water,Shothahara,Anti-inflammatory,Spicy food,Hygiene,Baddha Konasana,Anulom Vilom,Cervical health
fracture of the neck,Vata,None,Greeva-asthi bhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,"Calcium, soft food",Neck movement,Cervical collar,Shavasana,Anulom Vilom,Spinal union
poisoning due to anticonvulsants,Pitta,None,Oushadha-visha,Rakta Dhatu,Sariva,Arishta,Water,Vishagna,Cooling liquids,Overdose,Hydration,Shavasana,Sheetali,Systemic detox
anemia of chronic disease,Vata,Pitta,Pandu,Rakta Dhatu,Punarnava Mandura,Vati,Buttermilk,Rasayana,"Iron-rich, nourishing",Chronic stress,Base disease care,Vrikshasana,Anulom Vilom,RBC vitality
neuropathy due to drugs,Vata,None,Suptata,Majja Dhatu,Ashwagandha,Taila,Warm Milk,Vatashamana,Nerve nourishing,Nerve-toxic drugs,B-vitamin rich food,Tadasana,Anulom Vilom,Nerve sensation
allergy to animals,Kapha,Vata,Asatmya,Pranavaha Srotas,Haridra Khanda,Granules,Warm Water,Kaphahara,Warm fluids,Animal dander,Air purifiers,Surya Namaskar,Kapalbhati,Immune balance
dislocation of the vertebra,Vata,None,Asthibhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium rich,Physical strain,Immobilization,Shavasana,Anulom Vilom,Structural union
ectropion,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
bunion,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
cysticercosis,Pitta,Kapha,Kushtha,Rakta Dhatu,Manjistha,Arishta,Water,Raktashodhaka,Bitter vegetables,Sour food,Sunscreen/Oiling,Surya Namaskar,Sheetali,Skin purity
primary immunodeficiency,Vata,Pitta,Dhatukshaya,Rasa Dhatu,Amalaki,Rasayana,Water,Balya,Mineral/Vitamin rich,Junk food,Supplementation,Tadasana,Anulom Vilom,Nutrient absorption
congenital heart defect,Vata,Pitta,Hridroga,Hridaya,Arjuna,Ksheerpaka,Milk,Hridya,Heart healthy,Caffeine/Salt,Cardiac rehab,Shavasana,Bhramari,Cardiac rhythm
acariasis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
fracture of the ankle,Vata,None,Asthibhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium rich,Physical strain,Immobilization,Shavasana,Anulom Vilom,Structural union
urethral valves,Vata,Pitta,Hridroga,Hridaya,Arjuna,Ksheerpaka,Milk,Hridya,Heart healthy,Caffeine/Salt,Cardiac rehab,Shavasana,Bhramari,Cardiac rhythm
magnesium deficiency,Vata,Pitta,Dhatukshaya,Rasa Dhatu,Amalaki,Rasayana,Water,Balya,Mineral/Vitamin rich,Junk food,Supplementation,Tadasana,Anulom Vilom,Nutrient absorption
infection of open wound,Pitta,Kapha,Vidradhi,Rakta Dhatu,Neem,Vati,Water,Vishagna/Shothahara,Bitter/Cooling,Fermented food,Personal hygiene,Surya Namaskar,Sheetali,Infection clearance
adrenal adenoma,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
viral hepatitis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
metabolic disorder,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
neonatal jaundice,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
primary kidney disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
flat feet,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
juvenile rheumatoid arthritis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound of the ear,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
open wound of the neck,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
open wound of the eye,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
cholesteatoma,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
emphysema,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
hirsutism,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
bone spur of the calcaneous,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
tourette syndrome,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
pituitary disorder,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
subacute thyroiditis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
syphilis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
neurofibromatosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
acanthosis nigricans,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
trichiasis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
pituitary adenoma,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
poisoning due to antidepressants,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
injury to the spinal cord,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
female infertility of unknown cause,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
vitreous hemorrhage,Pitta,Rakta,Raktapitta,Rakta Dhatu,Vasa,Swarasa,Honey,Raktastambhana,"Cooling, bland",Spices,Absolute rest,Shavasana,Sheetali,Vessel integrity
metastatic cancer,Sannipata,None,Arbudha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana,Antioxidant rich,Toxins/Sugar,Holistic care,Shavasana,Anulom Vilom,Cellular balance
hemolytic anemia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound of the foot,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
normal pressure hydrocephalus,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound of the lip,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
gestational diabetes,Kapha,Vata,Prameha,Meda Dhatu,Nisha-Amalaki,Churna,Water,Pramehagna,"Low GI, Bitter food",Sweets,Regular walking,Paschimottanasana,Anulom Vilom,Glycemic control
foreign body in the ear,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
hyperhidrosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
poisoning due to ethylene glycol,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
floaters,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
vertebrobasilar insufficiency,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
tuberculosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
breast cyst,Pitta,Kapha,Kushtha,Rakta Dhatu,Manjistha,Arishta,Water,Raktashodhaka,Bitter vegetables,Sour food,Sunscreen/Oiling,Surya Namaskar,Sheetali,Skin purity
foreign body in the vagina,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
peyronie disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
dislocation of the ankle,Vata,None,Asthibhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium rich,Physical strain,Immobilization,Shavasana,Anulom Vilom,Structural union
hemophilia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
conversion disorder,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
anal fistula,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
lymphogranuloma venereum,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
abscess of the lung,Pitta,Kapha,Vidradhi,Rakta Dhatu,Neem,Vati,Water,Vishagna/Shothahara,Bitter/Cooling,Fermented food,Personal hygiene,Surya Namaskar,Sheetali,Infection clearance
otosclerosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
dislocation of the foot,Vata,None,Asthibhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium rich,Physical strain,Immobilization,Shavasana,Anulom Vilom,Structural union
hirschsprung disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
ependymoma,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
pharyngitis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
ovarian cancer,Sannipata,None,Arbudha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana,Antioxidant rich,Toxins/Sugar,Holistic care,Shavasana,Anulom Vilom,Cellular balance
uveitis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
chronic inflammatory demyelinating polyneuropathy (cidp),Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
parathyroid adenoma,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
meningioma,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
cyst of the eyelid,Pitta,Vata,Netraroga,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Chakshushya,Vitamin A foods,Screen strain,Palming,Trataka,Sheetali,Visual clarity
central atherosclerosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
dislocation of the finger,Vata,None,Asthibhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium rich,Physical strain,Immobilization,Shavasana,Anulom Vilom,Structural union
glucocorticoid deficiency,Vata,Pitta,Dhatukshaya,Rasa Dhatu,Amalaki,Rasayana,Water,Balya,Mineral/Vitamin rich,Junk food,Supplementation,Tadasana,Anulom Vilom,Nutrient absorption
thyroid disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
poisoning due to antihypertensives,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
vitamin d deficiency,Vata,Pitta,Dhatukshaya,Rasa Dhatu,Amalaki,Rasayana,Water,Balya,Mineral/Vitamin rich,Junk food,Supplementation,Tadasana,Anulom Vilom,Nutrient absorption
kidney disease due to longstanding hypertension,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
mastectomy,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
pyloric stenosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
injury to the hip,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
rhabdomyolysis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
lung contusion,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
cystic fibrosis,Pitta,Kapha,Kushtha,Rakta Dhatu,Manjistha,Arishta,Water,Raktashodhaka,Bitter vegetables,Sour food,Sunscreen/Oiling,Surya Namaskar,Sheetali,Skin purity
malaria,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
colorectal cancer,Sannipata,None,Arbudha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana,Antioxidant rich,Toxins/Sugar,Holistic care,Shavasana,Anulom Vilom,Cellular balance
syringomyelia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
wilson disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
placental abruption,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
fibrocystic breast disease,Pitta,Kapha,Kushtha,Rakta Dhatu,Manjistha,Arishta,Water,Raktashodhaka,Bitter vegetables,Sour food,Sunscreen/Oiling,Surya Namaskar,Sheetali,Skin purity
fracture of the foot,Vata,None,Asthibhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium rich,Physical strain,Immobilization,Shavasana,Anulom Vilom,Structural union
pneumoconiosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
congenital malformation syndrome,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
hypothermia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
pregnancy,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
hpv,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
factitious disorder,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
anemia due to malignancy,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
intracranial abscess,Pitta,Kapha,Vidradhi,Rakta Dhatu,Neem,Vati,Water,Vishagna/Shothahara,Bitter/Cooling,Fermented food,Personal hygiene,Surya Namaskar,Sheetali,Infection clearance
pseudohypoparathyroidism,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
diabetes insipidus,Kapha,Vata,Prameha,Meda Dhatu,Nisha-Amalaki,Churna,Water,Pramehagna,"Low GI, Bitter food",Sweets,Regular walking,Paschimottanasana,Anulom Vilom,Glycemic control
raynaud disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
frostbite,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
moyamoya disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
toxoplasmosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
volvulus,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
cryptococcosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
myoclonus,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
pulmonic valve disease,Vata,Pitta,Hridroga,Hridaya,Arjuna,Ksheerpaka,Milk,Hridya,Heart healthy,Caffeine/Salt,Cardiac rehab,Shavasana,Bhramari,Cardiac rhythm
heart contusion,Vata,Pitta,Hridroga,Hridaya,Arjuna,Ksheerpaka,Milk,Hridya,Heart healthy,Caffeine/Salt,Cardiac rehab,Shavasana,Bhramari,Cardiac rhythm
birth trauma,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
